series,throughput,median_latency_ms
streams,2605.3000,1.2750
streams,7796.8000,1.6513
streams,13859.4000,1.9911
streams,20487.6000,2.8134
streams,25293.2000,16.6744
streams,26597.8000,41.6815
streams,26764.0000,61.5122
streams,26935.6000,76.8098
streams,25921.8000,92.7935
streams,25999.2000,103.6622
queue_1024,595.4000,0.8153
queue_1024,1846.4000,1.5475
queue_1024,3110.8000,1.5347
queue_1024,4357.0000,1.4243
queue_1024,5603.1000,2.2285
queue_1024,6866.2000,2.1882
queue_1024,7886.4000,26.7555
queue_1024,4520.3000,575.4758
queue_1024,7490.6000,206.4773
queue_1024,2795.2000,1370.1349
queue_512,338.9000,2.0682
queue_512,1055.3000,1.8848
queue_512,1767.8000,1.9714
queue_512,2488.0000,2.5105
queue_512,3211.9000,2.0788
queue_512,3918.6000,2.3338
queue_512,3681.7000,260.9128
queue_512,3021.8000,771.6272
queue_512,3616.9000,493.9484
queue_512,2707.9000,1147.2172
queue_256,269.4000,24.1612
queue_256,837.1000,22.9951
queue_256,1405.0000,21.2351
queue_256,1950.6000,27.4531
queue_256,2509.6000,47.5794
queue_256,3079.0000,74.3236
queue_256,3451.9000,259.0986
queue_256,3449.0000,351.6840
queue_256,3538.8000,528.1607
queue_256,2712.7000,1034.3015
