config,threads,maxload,point,load,throughput,median_latency_ms
streams,NA,26089.900000,0,2608.990000,2605.3000,1.2750
streams,NA,26089.900000,1,8116.857778,7796.8000,1.6513
streams,NA,26089.900000,2,13624.725556,13859.4000,1.9911
streams,NA,26089.900000,3,19132.593333,20487.6000,2.8134
streams,NA,26089.900000,4,24640.461111,25293.2000,16.6744
streams,NA,26089.900000,5,30148.328889,26597.8000,41.6815
streams,NA,26089.900000,6,35656.196667,26764.0000,61.5122
streams,NA,26089.900000,7,41164.064444,26935.6000,76.8098
streams,NA,26089.900000,8,46671.932222,25921.8000,92.7935
streams,NA,26089.900000,9,52179.800000,25999.2000,103.6622
queue,1024,5948.400000,0,594.840000,595.4000,0.8153
queue,1024,5948.400000,1,1850.613333,1846.4000,1.5475
queue,1024,5948.400000,2,3106.386667,3110.8000,1.5347
queue,1024,5948.400000,3,4362.160000,4357.0000,1.4243
queue,1024,5948.400000,4,5617.933333,5603.1000,2.2285
queue,1024,5948.400000,5,6873.706667,6866.2000,2.1882
queue,1024,5948.400000,6,8129.480000,7886.4000,26.7555
queue,1024,5948.400000,7,9385.253333,4520.3000,575.4758
queue,1024,5948.400000,8,10641.026667,7490.6000,206.4773
queue,1024,5948.400000,9,11896.800000,2795.2000,1370.1349
queue,512,3393.500000,0,339.350000,338.9000,2.0682
queue,512,3393.500000,1,1055.755556,1055.3000,1.8848
queue,512,3393.500000,2,1772.161111,1767.8000,1.9714
queue,512,3393.500000,3,2488.566667,2488.0000,2.5105
queue,512,3393.500000,4,3204.972222,3211.9000,2.0788
queue,512,3393.500000,5,3921.377778,3918.6000,2.3338
queue,512,3393.500000,6,4637.783333,3681.7000,260.9128
queue,512,3393.500000,7,5354.188889,3021.8000,771.6272
queue,512,3393.500000,8,6070.594444,3616.9000,493.9484
queue,512,3393.500000,9,6787.000000,2707.9000,1147.2172
queue,256,2698.900000,0,269.890000,269.4000,24.1612
queue,256,2698.900000,1,839.657778,837.1000,22.9951
queue,256,2698.900000,2,1409.425556,1405.0000,21.2351
queue,256,2698.900000,3,1979.193333,1950.6000,27.4531
queue,256,2698.900000,4,2548.961111,2509.6000,47.5794
queue,256,2698.900000,5,3118.728889,3079.0000,74.3236
queue,256,2698.900000,6,3688.496667,3451.9000,259.0986
queue,256,2698.900000,7,4258.264444,3449.0000,351.6840
queue,256,2698.900000,8,4828.032222,3538.8000,528.1607
queue,256,2698.900000,9,5397.800000,2712.7000,1034.3015
